Age,gender,occupation,education,lifestyle,favorite,zone,activity,month,place
50,female,employee,bachelor,family,movie,Wang Thonglang,concert ,8,Impact
50,female,employee,bachelor,family,movie,Wang Thonglang,concert ,8,Impact
35,female,employee,graduate,family,family,Thon Buri,concert ,8,Impact
35,female,employee,bachelor,family,travel,Pathum Wan,concert ,8,Impact
47,female,employee,bachelor,family,concert,Prawet,concert ,8,Impact
47,female,employee,bachelor,family,concert,Prawet,concert ,8,Impact
39,female,employee,graduate,family,family,Rat Burana,concert ,8,Impact
15,female,student,primary,family,concert,Bang Khae,concert ,8,Impact
35,female,business,bachelor,family,travel,Lat Phrao,concert ,7,Impact
40,female,employee,bachelor,family,travel,Don Mueang,concert ,7,Impact
41,female,business,bachelor,family,concert,Bang Khae,concert ,8,Impact
43,female,business,primary,family,family,Bang Khen,concert ,8,Impact
48,male,employee,graduate,family,concert,Don Mueang,concert ,7,Impact
48,male,employee,graduate,family,concert,Don Mueang,concert ,7,Impact
48,male,employee,graduate,family,concert,Don Mueang,concert ,8,Impact
48,male,employee,graduate,family,concert,Don Mueang,concert ,8,Impact
48,male,employee,graduate,family,concert,Don Mueang,concert ,9,Impact
48,male,employee,graduate,family,concert,Don Mueang,concert ,7,Impact
48,male,employee,graduate,family,concert,Don Mueang,concert ,9,Impact
34,male,employee,bachelor,family,family,Bangkok Noi,concert ,7,Impact
61,female,freelance,diploma,family,travel,Wang Thonglang,concert ,8,Impact
67,male,business,primary,family,concert,Don Mueang,journey,11,The Mall Bang Kapi
63,male,employee,other,family,travel,Khlong Toei,journey,11,The Mall Bang Kapi
57,male,official,bachelor,family,family,Min Buri,journey,11,The Mall Bang Kapi
53,female,business,secondary,family,family,Bangkok Yai,journey,11,The Mall Bang Kapi
40,female,business,secondary,family,rally,Bang Khen,journey,10,The Mall Bang Kapi
40,female,business,bachelor,family,family,Bang Khun Thian,journey,11,The Mall Bang Kapi
29,female,employee,graduate,family,family,Pom Prap Sattru Phai,journey,11,The Mall Bang Kapi
60,male,employee,diploma,family,travel,Bang Na,journey,11,The Mall Bang Kapi
35,female,business,other,family,family,Bangkok Noi,journey,11,The Mall Bang Kapi
48,female,other,secondary,family,rally,Bang Khen,journey,10,The Mall Bang Kapi
44,male,other,diploma,family,rally,Lat Phrao,journey,11,The Mall Bang Kapi
56,female,housewife,secondary,family,family,Bang Khae,journey,10,The Mall Bang Kapi
61,female,business,primary,family,travel,Bang Kapi,journey,11,The Mall Bang Kapi
53,female,business,other,family,travel,Khlong Toei,journey,11,The Mall Bang Kapi
48,male,employee,bachelor,family,concert,Khlong San,journey,10,The Mall Bang Kapi
43,female,business,bachelor,family,family,Thung Khru,journey,10,The Mall Bang Kapi
45,female,business,secondary,family,concert,Dusit,journey,11,The Mall Bang Kapi
51,female,employee,secondary,family,concert,Saphan Sung,journey,10,The Mall Bang Kapi
44,female,employee,diploma,family,concert,Wang Thonglang,journey,11,The Mall Bang Kapi
35,male,employee,graduate,family,travel,Bang Kapi,journey,11,The Mall Bang Kapi
41,male,employee,graduate,family,family,Khlong Sam Wa,journey,11,The Mall Bang Kapi
46,female,employee,bachelor,family,family,Bueng Kum,journey,11,The Mall Bang Kapi
47,male,business,primary,family,travel,Pathum Wan,journey,11,The Mall Bang Kapi
43,male,business,primary,family,sport,Bang Bon,journey,11,The Mall Bang Kapi
4,male,other,bachelor,family,family,Min Buri,journey,10,The Mall Bang Kapi
35,female,official,bachelor,family,travel,Bueng Kum,journey,11,The Mall Bang Kapi
54,female,business,diploma,family,rally,Yan Nawa,journey,10,The Mall Bang Kapi
47,female,business,other,family,family,Khlong Toei,journey,11,The Mall Bang Kapi
44,female,employee,bachelor,family,travel,Phra Khanong,journey,11,The Mall Bang Kapi
47,female,business,bachelor,family,travel,Wang Thonglang,journey,11,The Mall Bang Kapi
49,female,enterprise,bachelor,family,celebrity,Bang Phlat,journey,11,The Mall Bang Kapi
31,male,freelance,graduate,family,concert,Thon Buri,journey,10,The Mall Bang Kapi
41,female,business,diploma,family,concert,Khlong Sam Wa,journey,11,The Mall Bang Kapi
30,female,employee,bachelor,family,travel,Bang Khun Thian,journey,11,The Mall Bang Kapi
59,female,housewife,bachelor,family,family,Lat Phrao,journey,11,The Mall Bang Kapi
43,male,business,bachelor,family,sport,Phasi Charoen,journey,10,The Mall Bang Kapi
47,male,official,graduate,family,family,Saphan Sung,journey,11,The Mall Bang Kapi
40,male,business,secondary,family,family,Bang Bon,journey,11,The Mall Bang Kapi
41,female,employee,other,family,movie,Nong Chok,journey,11,The Mall Bang Kapi
35,female,official,graduate,family,movie,Don Mueang,journey,11,The Mall Bang Kapi
33,female,other,bachelor,family,family,Prawet,journey,11,The Mall Bang Kapi
14,female,employee,bachelor,family,family,Din Daeng,journey,11,The Mall Bang Kapi
42,female,business,diploma,family,family,Bang Kapi,journey,11,The Mall Bang Kapi
52,female,business,bachelor,family,travel,Suan Luang,journey,10,The Mall Bang Kapi
18,male,student,secondary,family,concert,Pathum Wan,journey,11,The Mall Bang Kapi
40,female,business,bachelor,family,travel,Bang Bon,journey,11,The Mall Bang Kapi
49,female,business,secondary,family,family,Bang Khun Thian,journey,11,The Mall Bang Kapi
37,female,freelance,bachelor,family,rally,Khlong Sam Wa,journey,11,The Mall Bang Kapi
7,female,other,other,family,travel,Bang Kapi,journey,11,The Mall Bang Kapi
34,male,business,secondary,family,concert,Thawi Watthana,journey,11,The Mall Bang Kapi
23,female,student,bachelor,family,concert,Lak Si,journey,11,The Mall Bang Kapi
33,female,employee,bachelor,family,travel,Huai Khwang,journey,11,The Mall Bang Kapi
58,male,other,bachelor,family,rally,Chatuchak,journey,11,The Mall Bang Kapi
39,female,other,diploma,family,concert,Phasi Charoen,journey,10,The Mall Bang Kapi
56,female,housewife,primary,family,travel,Don Mueang,journey,11,The Mall Bang Kapi
59,female,business,diploma,family,concert,Bueng Kum,journey,11,The Mall Bang Kapi
58,female,business,secondary,family,family,Nong Chok,journey,10,The Mall Bang Kapi
56,female,other,secondary,family,travel,Saphan Sung,journey,10,The Mall Bang Kapi
10,female,student,kindergarten,family,travel,Thung Khru,journey,10,The Mall Bang Kapi
47,female,business,other,family,family,Wang Thonglang,journey,11,The Mall Bang Kapi
37,female,housewife,bachelor,family,family,Bang Kapi,journey,11,The Mall Bang Kapi
45,female,business,other,family,travel,Bang Khun Thian,journey,11,The Mall Bang Kapi
42,female,housewife,bachelor,family,family,Watthana,journey,11,The Mall Bang Kapi
40,male,employee,bachelor,family,family,Min Buri,journey,11,The Mall Bang Kapi
38,male,employee,bachelor,family,movie,Huai Khwang,journey,11,The Mall Bang Kapi
11,male,business,bachelor,family,family,Saphan Sung,journey,11,The Mall Bang Kapi
56,female,employee,bachelor,family,family,Huai Khwang,journey,10,The Mall Bang Kapi
49,female,business,secondary,family,family,Phra Nakhon,journey,10,The Mall Bang Kapi
35,female,employee,bachelor,family,travel,Sai Mai,journey,11,The Mall Bang Kapi
56,female,other,graduate,family,concert,Phaya Thai,journey,11,The Mall Bang Kapi
55,female,other,other,family,travel,Khan Na Yao,journey,11,The Mall Bang Kapi
49,female,official,bachelor,family,family,Chatuchak,journey,11,The Mall Bang Kapi
30,female,employee,bachelor,family,concert,Bueng Kum,journey,10,The Mall Bang Kapi
42,female,enterprise,secondary,family,travel,Min Buri,journey,11,The Mall Bang Kapi
17,female,other,other,family,family,Saphan Sung,journey,11,The Mall Bang Kapi
52,female,business,bachelor,family,concert,Wang Thonglang,journey,11,The Mall Bang Kapi
47,male,business,secondary,family,rally,Thon Buri,journey,11,The Mall Bang Kapi
56,female,business,bachelor,family,family,Ratchathewi,journey,11,The Mall Bang Kapi
40,male,employee,bachelor,family,travel,Sai Mai,journey,10,The Mall Bang Kapi
33,female,employee,bachelor,family,concert,Phra Khanong,journey,10,The Mall Bang Kapi
43,female,business,other,family,concert,Din Daeng,journey,11,The Mall Bang Kapi
13,male,employee,secondary,family,family,Chatuchak,journey,11,The Mall Bang Kapi
45,female,business,bachelor,family,travel,Saphan Sung,journey,11,The Mall Bang Kapi
56,female,business,other,family,family,Lat Krabang,journey,11,The Mall Bang Kapi
52,male,employee,secondary,family,travel,Khlong Sam Wa,journey,11,The Mall Bang Kapi
50,male,employee,secondary,family,travel,Saphan Sung,journey,10,The Mall Bang Kapi
49,female,business,diploma,family,travel,Bang Bon,journey,11,The Mall Bang Kapi
49,male,business,graduate,family,travel,Lak Si,journey,10,The Mall Bang Kapi
44,female,official,bachelor,family,family,Don Mueang,journey,11,The Mall Bang Kapi
56,female,employee,bachelor,family,travel,Bangkok Noi,journey,10,The Mall Bang Kapi
35,male,other,graduate,family,concert,Bueng Kum,journey,10,The Mall Bang Kapi
56,female,other,bachelor,family,movie,Chatuchak,journey,11,The Mall Bang Kapi
33,female,employee,bachelor,family,travel,Bang Khen,journey,11,The Mall Bang Kapi
49,female,employee,bachelor,family,travel,Taling Chan,journey,11,The Mall Bang Kapi
42,female,business,secondary,family,movie,Lat Phrao,journey,10,The Mall Bang Kapi
42,female,housewife,secondary,family,travel,Phaya Thai,journey,10,The Mall Bang Kapi
51,male,business,secondary,family,travel,Prawet,journey,10,The Mall Bang Kapi
19,male,student,secondary,family,concert,Nong Khaem,journey,11,The Mall Bang Kapi
51,female,employee,bachelor,family,movie,Bang Khun Thian,journey,10,The Mall Bang Kapi
49,male,freelance,bachelor,family,family,Wang Thonglang,journey,11,The Mall Bang Kapi
35,female,housewife,diploma,family,family,Bang Khun Thian,journey,11,The Mall Bang Kapi
23,male,student,bachelor,family,concert,Prawet,journey,11,The Mall Bang Kapi
59,female,business,primary,family,concert,Don Mueang,journey,11,The Mall Bang Kapi
51,female,business,bachelor,family,travel,Din Daeng,journey,11,The Mall Bang Kapi
40,male,official,secondary,family,family,Chatuchak,journey,11,The Mall Bang Kapi
37,female,other,bachelor,family,concert,Huai Khwang,journey,11,The Mall Bang Kapi
43,female,business,secondary,family,travel,Bang Khun Thian,journey,10,The Mall Bang Kapi
45,female,freelance,bachelor,family,travel,Thawi Watthana,journey,10,The Mall Bang Kapi
13,female,student,primary,family,movie,Khan Na Yao,journey,11,The Mall Bang Kapi
42,male,business,bachelor,family,family,Wang Thonglang,journey,11,The Mall Bang Kapi
62,male,other,graduate,family,travel,Lat Phrao,journey,11,The Mall Bang Kapi
51,male,employee,diploma,family,rally,Bang Khen,journey,11,The Mall Bang Kapi
60,female,business,diploma,family,movie,Samphanthawong,journey,11,The Mall Bang Kapi
20,female,student,bachelor,family,concert,Saphan Sung,journey,11,The Mall Bang Kapi
49,male,other,graduate,family,family,Phaya Thai,journey,11,The Mall Bang Kapi
68,female,housewife,primary,family,travel,Bueng Kum,journey,11,The Mall Bang Kapi
46,female,housewife,bachelor,family,movie,Khlong Sam Wa,journey,11,The Mall Bang Kapi
60,female,official,graduate,family,travel,Ratchathewi,journey,10,The Mall Bang Kapi
45,female,employee,diploma,family,family,Din Daeng,journey,11,The Mall Bang Kapi
43,female,business,bachelor,family,travel,Taling Chan,journey,11,The Mall Bang Kapi
30,male,business,graduate,family,movie,Bang Khen,journey,11,The Mall Bang Kapi
13,female,employee,bachelor,family,family,Ratchathewi,journey,10,The Mall Bang Kapi
48,female,business,diploma,family,concert,Bang Khun Thian,journey,11,The Mall Bang Kapi
31,female,employee,bachelor,family,travel,Bang Khae,journey,10,The Mall Bang Kapi
38,female,housewife,secondary,family,travel,Phaya Thai,journey,11,The Mall Bang Kapi
53,female,business,secondary,family,family,Taling Chan,journey,11,The Mall Bang Kapi
37,male,business,bachelor,family,travel,Nong Khaem,journey,11,The Mall Bang Kapi
15,female,official,bachelor,family,travel,Phasi Charoen,journey,11,The Mall Bang Kapi
39,male,employee,bachelor,family,travel,Saphan Sung,journey,11,The Mall Bang Kapi
51,female,housewife,secondary,family,family,Phaya Thai,journey,11,The Mall Bang Kapi
12,male,student,primary,family,travel,Thung Khru,journey,10,The Mall Bang Kapi
45,female,business,bachelor,family,travel,Saphan Sung,journey,11,The Mall Bang Kapi
45,female,business,bachelor,family,travel,Saphan Sung,journey,11,The Mall Bang Kapi
49,male,business,bachelor,family,family,Prawet,journey,11,The Mall Bang Kapi
45,female,business,diploma,family,travel,Ratchathewi,journey,11,The Mall Bang Kapi
49,male,business,bachelor,family,concert,Bang Kapi,journey,11,The Mall Bang Kapi
19,male,business,secondary,family,travel,Bang Bon,journey,10,The Mall Bang Kapi
10,male,employee,bachelor,family,family,Ratchathewi,journey,10,The Mall Bang Kapi
10,female,employee,other,family,family,Chatuchak,journey,11,The Mall Bang Kapi
59,female,business,other,family,movie,Chatuchak,journey,11,The Mall Bang Kapi
51,female,business,bachelor,family,family,Lat Phrao,journey,10,The Mall Bang Kapi
50,female,official,bachelor,family,family,Lak Si,journey,11,The Mall Bang Kapi
16,female,business,secondary,family,family,Bang Kapi,journey,11,The Mall Bang Kapi
38,female,employee,bachelor,family,travel,Khan Na Yao,journey,10,The Mall Bang Kapi
44,female,business,secondary,family,family,Bueng Kum,journey,11,The Mall Bang Kapi
41,female,business,secondary,family,family,Huai Khwang,journey,10,The Mall Bang Kapi
36,male,official,other,family,family,Dusit,journey,11,The Mall Bang Kapi
40,female,business,bachelor,family,concert,Chatuchak,journey,11,The Mall Bang Kapi
43,female,business,bachelor,family,travel,Phaya Thai,journey,11,The Mall Bang Kapi
49,female,business,secondary,family,family,Prawet,journey,11,The Mall Bang Kapi
39,female,employee,bachelor,family,travel,Min Buri,journey,11,The Mall Bang Kapi
35,female,official,bachelor,family,concert,Chatuchak,journey,11,The Mall Bang Kapi
60,female,official,bachelor,family,travel,Khan Na Yao,journey,11,The Mall Bang Kapi
38,male,employee,graduate,family,concert,Khan Na Yao,journey,11,The Mall Bang Kapi
62,male,business,bachelor,family,family,Sathon,journey,11,The Mall Bang Kapi
38,female,business,bachelor,family,concert,Sai Mai,journey,10,The Mall Bang Kapi
22,female,student,bachelor,family,concert,Samphanthawong,journey,11,The Mall Bang Kapi
50,male,business,diploma,family,travel,Chatuchak,journey,11,The Mall Bang Kapi
43,male,employee,graduate,family,family,Bang Kapi,journey,11,The Mall Bang Kapi
33,female,business,bachelor,family,movie,Bang Khen,journey,11,The Mall Bang Kapi
56,female,business,primary,family,family,Pathum Wan,journey,11,The Mall Bang Kapi
47,female,housewife,bachelor,family,rally,Wang Thonglang,journey,11,The Mall Bang Kapi
56,female,other,other,family,travel,Bang Khun Thian,journey,11,The Mall Bang Kapi
46,male,business,bachelor,family,sport,Khan Na Yao,journey,10,The Mall Bang Kapi
45,female,employee,graduate,family,travel,Phra Nakhon,journey,10,The Mall Bang Kapi
42,male,employee,primary,family,family,Khan Na Yao,journey,10,The Mall Bang Kapi
38,female,business,bachelor,family,travel,Yan Nawa,journey,11,The Mall Bang Kapi
34,female,business,diploma,family,concert,Wang Thonglang,journey,11,The Mall Bang Kapi
53,female,official,graduate,family,travel,Lat Phrao,journey,11,The Mall Bang Kapi
51,female,business,bachelor,family,family,Sathon,journey,10,The Mall Bang Kapi
46,female,employee,bachelor,family,family,Lat Krabang,journey,10,The Mall Bang Kapi
30,female,employee,bachelor,family,travel,Wang Thonglang,journey,11,The Mall Bang Kapi
35,female,employee,bachelor,family,travel,Bueng Kum,journey,11,The Mall Bang Kapi
43,male,business,graduate,family,rally,Phra Khanong,journey,10,The Mall Bang Kapi
49,male,housewife,bachelor,family,family,Bueng Kum,journey,11,The Mall Bang Kapi
48,female,housewife,bachelor,family,travel,Bueng Kum,journey,11,The Mall Bang Kapi
52,male,business,bachelor,family,travel,Bueng Kum,journey,11,The Mall Bang Kapi
53,female,business,bachelor,family,travel,Wang Thonglang,journey,11,The Mall Bang Kapi
61,female,business,bachelor,family,family,Lat Phrao,journey,10,The Mall Bang Kapi
47,male,business,bachelor,family,family,Lat Krabang,journey,10,The Mall Bang Kapi
58,female,official,bachelor,family,movie,Chom Thong,journey,11,The Mall Bang Kapi
46,female,business,bachelor,family,family,Bang Kho Laem,journey,11,The Mall Bang Kapi
53,female,business,bachelor,family,family,Suan Luang,journey,11,The Mall Bang Kapi
59,female,official,bachelor,family,movie,Khlong Sam Wa,journey,11,The Mall Bang Kapi
55,female,business,other,family,family,Din Daeng,journey,11,The Mall Bang Kapi
37,male,business,bachelor,family,family,Huai Khwang,journey,11,The Mall Bang Kapi
59,male,other,other,family,family,Prawet,journey,11,The Mall Bang Kapi
12,male,other,other,family,travel,Phaya Thai,journey,11,The Mall Bang Kapi
42,female,employee,secondary,family,movie,Bang Na,journey,11,The Mall Bang Kapi
58,female,business,graduate,family,family,Chatuchak,journey,11,The Mall Bang Kapi
47,male,business,secondary,family,travel,Chom Thong,journey,11,The Mall Bang Kapi
45,male,business,bachelor,family,family,Thung Khru,journey,11,The Mall Bang Kapi
44,male,business,secondary,family,movie,Khan Na Yao,journey,11,The Mall Bang Kapi
37,male,business,graduate,family,concert,Bueng Kum,journey,11,The Mall Bang Kapi
45,female,business,other,family,movie,Ratchathewi,journey,11,The Mall Bang Kapi
58,female,business,secondary,family,movie,Khan Na Yao,journey,11,The Mall Bang Kapi
37,female,housewife,secondary,family,travel,Min Buri,journey,11,The Mall Bang Kapi
52,female,employee,diploma,family,travel,Chom Thong,journey,11,The Mall Bang Kapi
45,female,business,bachelor,family,travel,Chatuchak,healty ,8,Bangkok Mediplix Sukumvit
38,female,business,bachelor,family,concert,Bueng Kum,healty ,8,Bangkok Mediplix Sukumvit
53,female,employee,bachelor,family,travel,Saphan Sung,healty ,8,Bangkok Mediplix Sukumvit
63,female,business,bachelor,family,travel,Yan Nawa,healty ,8,Bangkok Mediplix Sukumvit
47,female,employee,graduate,family,travel,Lak Si,healty ,8,Bangkok Mediplix Sukumvit
50,male,business,graduate,family,travel,Thon Buri,healty ,8,Bangkok Mediplix Sukumvit
41,female,official,bachelor,family,family,Bang Sue,healty ,8,Bangkok Mediplix Sukumvit
43,male,employee,bachelor,family,travel,Lat Phrao,healty ,8,Bangkok Mediplix Sukumvit
56,female,housewife,diploma,family,travel,Bang Khae,healty ,8,Bangkok Mediplix Sukumvit
61,female,housewife,diploma,family,family,Chatuchak,healty ,8,Bangkok Mediplix Sukumvit
49,female,business,secondary,family,family,Phra Nakhon,healty ,8,Bangkok Mediplix Sukumvit
35,female,official,graduate,family,other,Bang Khae,healty ,8,Bangkok Mediplix Sukumvit
42,male,business,bachelor,family,movie,Bang Bon,healty ,8,Bangkok Mediplix Sukumvit
41,female,business,bachelor,family,travel,Bang Bon,healty ,8,Bangkok Mediplix Sukumvit
19,male,student,secondary,family,travel,Lat Phrao,healty ,8,Bangkok Mediplix Sukumvit
49,male,business,bachelor,family,concert,Bang Kapi,healty ,8,Bangkok Mediplix Sukumvit
57,male,employee,graduate,family,concert,Suan Luang,healty ,8,Bangkok Mediplix Sukumvit
43,female,employee,graduate,family,travel,Lat Phrao,healty ,8,Bangkok Mediplix Sukumvit
57,female,business,secondary,family,travel,Phra Nakhon,gourmet,9,Chiang Rai
52,female,business,bachelor,family,concert,Pathum Wan,gourmet,9,Chiang Rai
42,male,employee,bachelor,family,family,Suan Luang,movie,5,QSNCC
53,female,business,secondary,family,travel,Bang Na,movie,5,QSNCC
31,female,employee,bachelor,family,travel,Khlong Toei,movie,5,QSNCC
18,female,other,secondary,family,movie,Chom Thong,movie,5,QSNCC
47,male,employee,bachelor,family,travel,Wang Thonglang,movie,5,QSNCC
42,male,business,bachelor,family,travel,Bang Khae,movie,5,QSNCC
53,male,employee,bachelor,family,travel,Lak Si,movie,5,QSNCC
62,female,other,graduate,family,travel,Bang Kapi,movie,5,QSNCC
60,male,business,graduate,family,travel,Huai Khwang,movie,5,QSNCC
54,female,employee,graduate,family,concert,Prawet,movie,5,QSNCC
19,female,student,secondary,family,family,Lak Si,movie,5,QSNCC
36,male,other,bachelor,family,family,Bang Kapi,movie,5,QSNCC
37,male,enterprise,diploma,family,family,Bang Kapi,movie,5,QSNCC
42,female,housewife,bachelor,family,travel,Bang Khae,movie,5,QSNCC
9,female,student,other,family,family,Dusit,camping,3,Khao Yai
44,female,housewife,bachelor,family,travel,Prawet,camping,3,Khao Yai
12,female,business,bachelor,family,family,Bang Khen,camping,3,Khao Yai
9,male,other,kindergarten,family,family,Chatuchak,camping,3,Khao Yai
12,male,student,primary,family,family,Chom Thong,camping,3,Khao Yai
41,female,business,graduate,family,rally,Pathum Wan,camping,3,Khao Yai
8,female,student,other,family,family,Phra Nakhon,camping,3,Khao Yai
11,female,business,bachelor,family,travel,Khlong Sam Wa,camping,3,Khao Yai
55,female,business,secondary,family,other,Khlong Toei,healty,6,Potalai Spa Ramintra
39,female,employee,bachelor,family,concert,Bang Kho Laem,healty,6,Potalai Spa Ramintra
49,male,business,graduate,family,concert,Yan Nawa,healty,6,Potalai Spa Ramintra
60,female,business,secondary,family,travel,Bueng Kum,healty,6,Potalai Spa Ramintra
48,female,business,bachelor,family,concert,Yan Nawa,healty,6,Potalai Spa Ramintra
56,female,housewife,diploma,family,travel,Bang Khae,healty,7,Potalai Spa Ramintra
51,female,business,bachelor,family,celebrity,Phasi Charoen,healty,6,Potalai Spa Ramintra
55,female,business,bachelor,family,other,Pom Prap Sattru Phai,healty,6,Potalai Spa Ramintra
52,female,employee,bachelor,family,travel,Bang Khae,healty,6,Potalai Spa Ramintra
50,female,business,bachelor,family,travel,Bang Kapi,healty,6,Potalai Spa Ramintra
50,female,business,bachelor,family,family,Min Buri,healty,6,Potalai Spa Ramintra
48,female,business,diploma,family,travel,Sai Mai,healty,6,Potalai Spa Ramintra
22,female,student,bachelor,family,travel,Sai Mai,healty,6,Potalai Spa Ramintra
23,female,student,bachelor,family,concert,Bang Na,healty,6,Potalai Spa Ramintra
54,female,business,bachelor,family,travel,Pom Prap Sattru Phai,healty,6,Potalai Spa Ramintra
60,male,business,bachelor,family,travel,Nong Khaem,movie,3,Office
58,female,employee,secondary,family,travel,Khan Na Yao,movie,4,Office
50,female,business,graduate,family,family,Chatuchak,movie,2,Office
50,male,employee,graduate,family,family,Thawi Watthana,movie,4,Office
39,male,employee,bachelor,family,travel,Suan Luang,movie,3,Office
36,female,employee,graduate,family,movie,Huai Khwang,movie,4,Office
54,male,business,graduate,family,other,Nong Khaem,movie,4,Office
40,female,employee,bachelor,family,family,Chatuchak,movie,5,Office
55,female,housewife,diploma,family,travel,Bang Na,movie,4,Office
48,female,employee,secondary,family,family,Samphanthawong,movie,3,Office
46,male,business,secondary,family,sport,Huai Khwang,movie,5,Office
54,female,official,bachelor,family,family,Nong Khaem,movie,3,Office
52,male,employee,bachelor,family,family,Lak Si,movie,5,Office
50,female,business,bachelor,family,movie,Bangkok Yai,movie,4,Office
48,female,business,secondary,family,family,Bang Khun Thian,movie,4,Office
60,female,business,bachelor,family,movie,Din Daeng,movie,5,Office
50,female,employee,bachelor,family,travel,Rat Burana,movie,3,Office
61,female,business,bachelor,family,family,Bang Phlat,movie,4,Office
42,female,employee,bachelor,family,family,Pathum Wan,movie,4,Office
40,female,other,bachelor,family,travel,Lat Phrao,movie,6,Office
56,male,employee,graduate,family,travel,Chatuchak,movie,4,Office
37,female,other,graduate,family,concert,Sai Mai,movie,4,Office
47,female,official,bachelor,family,travel,Pom Prap Sattru Phai,movie,3,Office
36,male,employee,bachelor,family,travel,Bang Sue,movie,3,Office
30,female,employee,bachelor,family,travel,Chatuchak,movie,5,Office
44,female,employee,other,family,family,Khlong Sam Wa,movie,5,Office
44,female,business,other,family,family,Rat Burana,movie,4,Office
58,female,official,bachelor,family,travel,Bang Khae,movie,3,Office
45,female,other,other,family,concert,Watthana,movie,6,Office
57,female,freelance,graduate,family,family,Bang Khae,movie,4,Office
43,female,business,diploma,family,family,Nong Khaem,movie,6,Office
58,female,housewife,primary,family,family,Lak Si,movie,3,Office
31,male,employee,bachelor,family,travel,Bang Khun Thian,movie,4,Office
57,female,other,bachelor,family,movie,Huai Khwang,movie,3,Office
